direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
sup_grad,0.02,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0004637893875
sup_grad,0.04,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0008230789583333334
sup_grad,0.08,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0012700299916666667
sup_grad,0.15,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0013851271666666665
sup_grad,0.22,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.0010758050416666666
sup_grad,0.3,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.0011489112125
sup_grad,0.4,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.00457055225
sup_grad,0.52,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.021848283333333333
sup_grad,0.66,0.4999999999999999,0.9479021950541817,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.041666666666666664,0,1,0.0625,0.125,-0.09519090000000001
sup_grad,0.82,7.752514030399643e-13,0.8934155824482858,0.49999999999999994,7.907564311007636e-11,1.0,1.0,True,True,True,0.9583333333333334,0,23,0.15625,0.1875,-0.27484708333333335
sup_grad,1.0,3.101005612159858e-14,0.6132328910575282,0.49999999999999994,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.25,0.1875,-0.42408625
sup_mean_diff,-1.0,6.349308990897308e-10,0.49999999999999994,0.11872453195706154,6.222322811079362e-08,1.0,1.0,True,True,True,0.8333333333333334,0,20,0.1875,0.3125,-0.12702979583333332
sup_mean_diff,-0.82,3.101005612159858e-14,0.3359332618849151,0.18246013258513483,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.125,0.28125,-0.17058279166666668
sup_mean_diff,-0.66,3.101005612159858e-14,0.3359332618849151,0.49999999999999994,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.125,0.1875,-0.16775333333333334
sup_mean_diff,-0.52,3.101005612159858e-14,0.5,0.7629385355581229,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.125,-0.12498277916666667
sup_mean_diff,-0.4,0.02482269503546099,0.5,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.20833333333333334,0,5,0.0625,0.125,-0.06476471666666667
sup_mean_diff,-0.3,1.0,0.5,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.125,-0.03194219166666667
sup_mean_diff,-0.22,1.0,0.5,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.019731189166666666
sup_mean_diff,-0.15,1.0,0.5,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.012780227916666666
sup_mean_diff,-0.08,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,-0.006938212083333335
sup_mean_diff,-0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.003615375416666667
sup_mean_diff,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0018623903333333334
sup_mean_diff,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0009474776250000001
sup_mean_diff,0.01,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.0009854648749999999
sup_mean_diff,0.02,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.0020142355
sup_mean_diff,0.04,1.0,0.5,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.21875,0.004225016666666667
sup_mean_diff,0.08,1.0,0.5,0.267820311997733,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.25,0.009408370833333332
sup_mean_diff,0.15,1.0,0.17733541504033307,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.125,0.1875,0.021440954166666665
sup_mean_diff,0.22,1.0,0.17733541504033307,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.125,0.15625,0.036226962499999994
sup_mean_diff,0.3,1.0,0.3064012490241998,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.1875,0.048913529166666664
sup_mean_diff,0.4,1.0,1.0,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.125,0.03664013583333333
sup_mean_diff,0.52,1.0,0.7871167917013986,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.15625,-0.021255925833333338
sup_mean_diff,0.66,1.0,0.8717406882028634,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.1875,-0.037286466666666664
sup_mean_diff,0.82,1.0,0.8934155824482858,0.11872453195706154,1.0,1.0,1.0,False,True,False,0.0,0,0,0.15625,0.3125,-0.037623616666666665
sup_mean_diff,1.0,1.0,0.9783408925202698,0.013596129808827278,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.4375,-0.03761459166666667
