stmt_index,label,eps_star,scale,g_read
182,1,29.7533,36.847301959990936,72.8488
182,1,29.7533,-36.847301959990936,29.5759
834,1,16.4869,0.0,34.1445
834,1,16.4869,16.486923096104185,55.0358
834,1,16.4869,-16.486923096104185,9.57518
834,1,16.4869,32.97384619220837,60.2825
834,1,16.4869,-32.97384619220837,5.56409
914,1,33.1891,0.0,48.3587
914,1,33.1891,33.18914315628023,68.2116
914,1,33.1891,-33.18914315628023,22.7277
914,1,33.1891,36.847301959990936,68.4398
914,1,33.1891,-36.847301959990936,22.3362
765,1,11.7086,0.0,30.6874
765,1,11.7086,11.708613020871072,48.1362
765,1,11.7086,-11.708613020871072,-0.353691
765,1,11.7086,23.417226041742143,52.8472
765,1,11.7086,-23.417226041742143,-10.3623
220,1,15.3951,0.0,29.1561
220,1,15.3951,15.395069680919761,50.4299
220,1,15.3951,-15.395069680919761,-1.5578
220,1,15.3951,30.790139361839522,59.496
220,1,15.3951,-30.790139361839522,-23.1376
358,1,22.1127,0.0,43.3358
358,1,22.1127,22.11271395771658,60.0511
358,1,22.1127,-22.11271395771658,18.3147
358,1,22.1127,36.847301959990936,62.4117
358,1,22.1127,-36.847301959990936,13.5572
167,1,26.4833,0.0,43.1314
167,1,26.4833,26.483317605582926,65.798
167,1,26.4833,-26.483317605582926,9.61041
167,1,26.4833,36.847301959990936,68.9741
167,1,26.4833,-36.847301959990936,7.30232
902,1,27.4257,0.0,50.1587
902,1,27.4257,27.425652047125602,67.0024
902,1,27.4257,-27.425652047125602,19.1796
902,1,27.4257,36.847301959990936,68.9938
902,1,27.4257,-36.847301959990936,16.8273
555,1,19.794,0.0,41.3395
555,1,19.794,19.794023634346523,60.0632
555,1,19.794,-19.794023634346523,6.72853
555,1,19.794,36.847301959990936,63.1725
555,1,19.794,-36.847301959990936,-8.55194
107,1,38.7697,0.0,60.6337
107,1,38.7697,36.847301959990936,82.895
107,1,38.7697,-36.847301959990936,8.93235
306,1,16.6261,0.0,39.4919
306,1,16.6261,16.626095962239948,56.7757
306,1,16.6261,-16.626095962239948,15.5586
306,1,16.6261,33.252191924479895,61.0317
306,1,16.6261,-33.252191924479895,13.3348
860,1,21.6213,0.0,41.4386
860,1,21.6213,21.62133082005012,63.3841
860,1,21.6213,-21.62133082005012,7.61937
860,1,21.6213,36.847301959990936,66.6384
860,1,21.6213,-36.847301959990936,1.38786
884,1,15.6967,0.0,31.3108
884,1,15.6967,15.696675127789007,50.2708
884,1,15.6967,-15.696675127789007,-4.38943
884,1,15.6967,31.393350255578014,55.5817
884,1,15.6967,-31.393350255578014,-38.798
333,1,24.3084,0.0,44.2396
333,1,24.3084,24.308404263852733,65.1625
333,1,24.3084,-24.308404263852733,12.6946
333,1,24.3084,36.847301959990936,67.1849
333,1,24.3084,-36.847301959990936,15.125
110,1,25.3893,0.0,40.8826
