arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-15.76592942341562,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.615037670855596,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.421103864621903,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-15.307990690337341,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.282471815337686,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-15.131708175476314,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.085788848525215,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.05587927277683,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.932166620248747,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.698402034484467,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.674930332832817,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.63799474146049,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.421431824742328,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-14.34328458527337,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.261931203999264,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.255023571175379,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-14.228681887562496,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-14.166899500598873,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-14.126892456764988,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.953116026476906,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.92529711375394,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-13.910033382688486,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.900671032105771,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.899989359550519,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.89425025526639,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.640783754946906,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.62950710892437,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.542146146406251,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.420393876964447,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.372603394037863,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-13.188364078771748,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.177795176743546,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.156191718207715,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.152192876069062,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.003691399729913,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.999506071408346,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.856047800080697,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.79418568084561,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.762530280753287,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.722986812050783,1,1.0000,0.0000,0.0000,0
