stmt_index,label,direction,eps,eps_frac,rel_err
310,1,jtw_mean_diff_tgt,4.33665,0.05,0.155297
310,1,jtw_mean_diff_tgt,7.04972,0.08128,0.23892
310,1,jtw_mean_diff_tgt,11.4601,0.1321,0.347975
310,1,jtw_mean_diff_tgt,18.6297,0.2148,0.470055
310,1,jtw_mean_diff_tgt,30.2847,0.3492,0.591706
310,1,jtw_mean_diff_tgt,49.2313,0.5676,0.696224
310,1,jtw_mean_diff_tgt,80.031,0.9227,0.781925
310,1,jtw_mean_diff_tgt,130.099,1.5,0.844665
310,1,mean_diff_src,4.33665,0.05,0.0619207
310,1,mean_diff_src,7.04972,0.08128,0.0996889
310,1,mean_diff_src,11.4601,0.1321,0.15929
310,1,mean_diff_src,18.6297,0.2148,0.250947
310,1,mean_diff_src,30.2847,0.3492,0.384546
310,1,mean_diff_src,49.2313,0.5676,0.558523
310,1,mean_diff_src,80.031,0.9227,0.735924
310,1,mean_diff_src,130.099,1.5,0.848473
310,1,dct_v_top,4.33665,0.05,0.165878
310,1,dct_v_top,7.04972,0.08128,0.288755
310,1,dct_v_top,11.4601,0.1321,0.531303
310,1,dct_v_top,18.6297,0.2148,1.07731
310,1,dct_v_top,30.2847,0.3492,2.15362
310,1,dct_v_top,49.2313,0.5676,2.84665
310,1,dct_v_top,80.031,0.9227,1.97124
310,1,dct_v_top,130.099,1.5,1.60459
310,1,random,4.33665,0.05,0.0357787
310,1,random,7.04972,0.08128,0.058402
310,1,random,11.4601,0.1321,0.0955851
310,1,random,18.6297,0.2148,0.157063
310,1,random,30.2847,0.3492,0.259393
310,1,random,49.2313,0.5676,0.428994
310,1,random,80.031,0.9227,0.695234
310,1,random,130.099,1.5,1.05498
316,1,jtw_mean_diff_tgt,4.33665,0.05,0.198698
316,1,jtw_mean_diff_tgt,7.04972,0.08128,0.303147
316,1,jtw_mean_diff_tgt,11.4601,0.1321,0.438932
316,1,jtw_mean_diff_tgt,18.6297,0.2148,0.588188
316,1,jtw_mean_diff_tgt,30.2847,0.3492,0.725258
316,1,jtw_mean_diff_tgt,49.2313,0.5676,0.822021
316,1,jtw_mean_diff_tgt,80.031,0.9227,0.882564
316,1,jtw_mean_diff_tgt,130.099,1.5,0.924847
316,1,mean_diff_src,4.33665,0.05,0.0567331
316,1,mean_diff_src,7.04972,0.08128,0.0925195
316,1,mean_diff_src,11.4601,0.1321,0.150753
316,1,mean_diff_src,18.6297,0.2148,0.243661
316,1,mean_diff_src,30.2847,0.3492,0.37934
316,1,mean_diff_src,49.2313,0.5676,0.530693
316,1,mean_diff_src,80.031,0.9227,0.663958
316,1,mean_diff_src,130.099,1.5,0.798729
316,1,dct_v_top,4.33665,0.05,0.152555
316,1,dct_v_top,7.04972,0.08128,0.255891
316,1,dct_v_top,11.4601,0.1321,0.431928
316,1,dct_v_top,18.6297,0.2148,0.72229
316,1,dct_v_top,30.2847,0.3492,1.07309
316,1,dct_v_top,49.2313,0.5676,1.23083
316,1,dct_v_top,80.031,0.9227,1.11829
316,1,dct_v_top,130.099,1.5,1.0263
316,1,random,4.33665,0.05,0.0394145
316,1,random,7.04972,0.08128,0.0641364
316,1,random,11.4601,0.1321,0.104375
316,1,random,18.6297,0.2148,0.169942
316,1,random,30.2847,0.3492,0.276923
316,1,random,49.2313,0.5676,0.451582
316,1,random,80.031,0.9227,0.727757
316,1,random,130.099,1.5,1.05681
324,1,jtw_mean_diff_tgt,4.33665,0.05,0.164268
324,1,jtw_mean_diff_tgt,7.04972,0.08128,0.256815
324,1,jtw_mean_diff_tgt,11.4601,0.1321,0.380586
324,1,jtw_mean_diff_tgt,18.6297,0.2148,0.521424
324,1,jtw_mean_diff_tgt,30.2847,0.3492,0.65705
324,1,jtw_mean_diff_tgt,49.2313,0.5676,0.770356
324,1,jtw_mean_diff_tgt,80.031,0.9227,0.854814
324,1,jtw_mean_diff_tgt,130.099,1.5,0.91466
324,1,mean_diff_src,4.33665,0.05,0.05705
324,1,mean_diff_src,7.04972,0.08128,0.0921314
324,1,mean_diff_src,11.4601,0.1321,0.147972
324,1,mean_diff_src,18.6297,0.2148,0.235003
324,1,mean_diff_src,30.2847,0.3492,0.364323
324,1,mean_diff_src,49.2313,0.5676,0.535071
324,1,mean_diff_src,80.031,0.9227,0.706512
324,1,mean_diff_src,130.099,1.5,0.838236
324,1,dct_v_top,4.33665,0.05,0.15767
324,1,dct_v_top,7.04972,0.08128,0.272099
324,1,dct_v_top,11.4601,0.1321,0.493946
324,1,dct_v_top,18.6297,0.2148,1.01682
