stmt_index,label,direction,eps,eps_frac,rel_err
236,1,mean_diff_src,27.0845,0.5676,0.328123
236,1,mean_diff_src,44.0289,0.9227,0.479421
236,1,mean_diff_src,71.574,1.5,0.670987
236,1,dct_v_top,2.3858,0.05,0.0823194
236,1,dct_v_top,3.87839,0.08128,0.136988
236,1,dct_v_top,6.30477,0.1321,0.229023
236,1,dct_v_top,10.2491,0.2148,0.377693
236,1,dct_v_top,16.6611,0.3492,0.590666
236,1,dct_v_top,27.0845,0.5676,0.941858
236,1,dct_v_top,44.0289,0.9227,0.945701
236,1,dct_v_top,71.574,1.5,0.976021
236,1,random,2.3858,0.05,0.0376465
236,1,random,3.87839,0.08128,0.0616083
236,1,random,6.30477,0.1321,0.101068
236,1,random,10.2491,0.2148,0.166378
236,1,random,16.6611,0.3492,0.27422
236,1,random,27.0845,0.5676,0.447202
236,1,random,44.0289,0.9227,0.698972
236,1,random,71.574,1.5,1.01564
269,0,jtw_mean_diff_tgt,2.3858,0.05,0.278851
269,0,jtw_mean_diff_tgt,3.87839,0.08128,0.397617
269,0,jtw_mean_diff_tgt,6.30477,0.1321,0.530486
269,0,jtw_mean_diff_tgt,10.2491,0.2148,0.659329
269,0,jtw_mean_diff_tgt,16.6611,0.3492,0.767644
269,0,jtw_mean_diff_tgt,27.0845,0.5676,0.847799
269,0,jtw_mean_diff_tgt,44.0289,0.9227,0.904645
269,0,jtw_mean_diff_tgt,71.574,1.5,0.94122
269,0,mean_diff_src,2.3858,0.05,0.049999
269,0,mean_diff_src,3.87839,0.08128,0.0802345
269,0,mean_diff_src,6.30477,0.1321,0.127462
269,0,mean_diff_src,10.2491,0.2148,0.198693
269,0,mean_diff_src,16.6611,0.3492,0.299145
269,0,mean_diff_src,27.0845,0.5676,0.424861
269,0,mean_diff_src,44.0289,0.9227,0.555824
269,0,mean_diff_src,71.574,1.5,0.692185
269,0,dct_v_top,2.3858,0.05,0.0861327
269,0,dct_v_top,3.87839,0.08128,0.139059
269,0,dct_v_top,6.30477,0.1321,0.220759
269,0,dct_v_top,10.2491,0.2148,0.339742
269,0,dct_v_top,16.6611,0.3492,0.515567
269,0,dct_v_top,27.0845,0.5676,0.792238
269,0,dct_v_top,44.0289,0.9227,0.886375
269,0,dct_v_top,71.574,1.5,0.935232
269,0,random,2.3858,0.05,0.031881
269,0,random,3.87839,0.08128,0.0518614
269,0,random,6.30477,0.1321,0.084381
269,0,random,10.2491,0.2148,0.137175
269,0,random,16.6611,0.3492,0.222133
269,0,random,27.0845,0.5676,0.355279
269,0,random,44.0289,0.9227,0.553234
269,0,random,71.574,1.5,0.829425
274,1,jtw_mean_diff_tgt,2.3858,0.05,0.129478
274,1,jtw_mean_diff_tgt,3.87839,0.08128,0.19705
274,1,jtw_mean_diff_tgt,6.30477,0.1321,0.288441
274,1,jtw_mean_diff_tgt,10.2491,0.2148,0.399703
274,1,jtw_mean_diff_tgt,16.6611,0.3492,0.519144
274,1,jtw_mean_diff_tgt,27.0845,0.5676,0.634391
274,1,jtw_mean_diff_tgt,44.0289,0.9227,0.737568
274,1,jtw_mean_diff_tgt,71.574,1.5,0.820941
274,1,mean_diff_src,2.3858,0.05,0.0314526
274,1,mean_diff_src,3.87839,0.08128,0.0513875
274,1,mean_diff_src,6.30477,0.1321,0.0842341
274,1,mean_diff_src,10.2491,0.2148,0.138453
274,1,mean_diff_src,16.6611,0.3492,0.226715
274,1,mean_diff_src,27.0845,0.5676,0.362294
274,1,mean_diff_src,44.0289,0.9227,0.547404
274,1,mean_diff_src,71.574,1.5,0.764483
274,1,dct_v_top,2.3858,0.05,0.0777963
274,1,dct_v_top,3.87839,0.08128,0.130585
274,1,dct_v_top,6.30477,0.1321,0.220446
274,1,dct_v_top,10.2491,0.2148,0.362346
