arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-4.291451457222805,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.290397553090385,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.2160283618752095,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.201949152849112,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.152257212222952,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.151651998834743,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.15157026501194,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.147340580005887,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.13336880434307,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.131260990369284,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-4.118856087928748,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.069617281534684,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.040245120283357,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.033367241399145,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.025912371484608,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.00978047597331,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.9956707993891607,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.806015304426411,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.801313732338072,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.7911212336329654,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.780862490845369,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.77667941217733,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.7248418657847693,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6923167676803894,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.685444641487873,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6832711688148403,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6802761283743326,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6715905926564862,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.644183166842119,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6390743379122057,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6279464841863196,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.623643371341731,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.6114484841307792,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.602768631179831,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.5954994231558883,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.5906692845651076,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.5457880488040083,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.5442150439560427,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.518200950513388,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.5107468584498083,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.5105201626074645,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.5010989716121066,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.4913457486133095,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.4825814198040326,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.4811827880235993,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.4771448576114974,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.4423003801757424,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-3.435357685560151,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.4334562820491863,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.387212982085385,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.3492072065985177,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.3200018235985755,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.319929193592187,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.3173387083805013,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.2668853293624562,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.2562453803476186,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.2461582070781465,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.2344141145727647,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.232779507247235,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.215474801928846,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.1908695390039985,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.136519397258833,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.1225250542818954,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.1167449940170644,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.1082029185764175,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-3.0985800041203744,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.077732956852491,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.067391148800805,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.058701134606392,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.054930527179919,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.0526354655556456,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-3.041516127033807,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.0339766307746823,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.0322402064446226,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.023552863214117,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.0182059123612865,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-3.006474663505296,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.9822417742000087,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.9735170837561604,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.9718293331049734,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.9629240928211513,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-2.959957493982525,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.9531176051971015,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-2.9466077028624476,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.94435404280423,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.8922066973560336,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-2.8914028047227953,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.86826147793363,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-2.8627599053956434,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-2.859112127198026,1,1.0000,0.0000,0.0000,0
