direction,eps,frac_reachable
rand_6,5.5271,0.616803
rand_6,6.14122,0.721311
rand_6,6.75534,0.803279
rand_6,7.36946,0.856557
rand_6,7.98358,0.913934
rand_6,8.5977,0.95082
rand_6,9.21183,0.977459
rand_6,9.82595,0.987705
rand_6,10.4401,0.993852
rand_6,11.0542,0.995902
rand_6,11.6683,0.997951
rand_6,12.2824,0.997951
rand_6,12.8966,1
rand_6,13.5107,1
rand_6,14.1248,1
rand_6,14.7389,1
rand_6,15.353,1
rand_6,15.9672,1
rand_6,16.5813,1
rand_6,17.1954,1
rand_6,17.8095,1
rand_6,18.4237,1
rand_6,19.0378,1
rand_6,19.6519,1
rand_6,20.266,1
rand_6,20.8801,1
rand_6,21.4943,1
rand_6,22.1084,1
rand_6,22.7225,1
rand_6,23.3366,1
rand_6,23.9507,1
rand_6,24.5649,1
rand_6,25.179,1
rand_6,25.7931,1
rand_6,26.4072,1
rand_6,27.0214,1
rand_6,27.6355,1
rand_6,28.2496,1
rand_6,28.8637,1
rand_6,29.4778,1
rand_6,30.092,1
rand_6,30.7061,1
rand_6,31.3202,1
rand_6,31.9343,1
rand_6,32.5485,1
rand_6,33.1626,1
rand_6,33.7767,1
rand_6,34.3908,1
rand_6,35.0049,1
rand_6,35.6191,1
rand_6,36.2332,1
rand_6,36.8473,1
rand_7,0,0.045082
rand_7,0.614122,0.0491803
rand_7,1.22824,0.0655738
rand_7,1.84237,0.106557
rand_7,2.45649,0.141393
rand_7,3.07061,0.178279
rand_7,3.68473,0.252049
rand_7,4.29885,0.344262
rand_7,4.91297,0.446721
rand_7,5.5271,0.538934
rand_7,6.14122,0.647541
rand_7,6.75534,0.72541
rand_7,7.36946,0.803279
rand_7,7.98358,0.864754
rand_7,8.5977,0.897541
rand_7,9.21183,0.944672
rand_7,9.82595,0.961066
rand_7,10.4401,0.981557
rand_7,11.0542,0.985656
rand_7,11.6683,0.991803
rand_7,12.2824,0.993852
rand_7,12.8966,0.993852
rand_7,13.5107,0.995902
rand_7,14.1248,0.995902
rand_7,14.7389,1
rand_7,15.353,1
